id,owner,minutes,blocker_if_skipped,status
H1-tesseract,Aria/Lead,20,Weaker eval-05; confirm path still valid,NOT_STARTED
H2-adult-photos,Lead+Arnav,15,Own-feed FRS uses synthetic gallery; still lawful,NOT_STARTED
H4-preflight,Lead,10,Do not record until PASS,NOT_STARTED
H5-own-youtube,Lead,40,ELIMINATES eval 04/07,NOT_STARTED
H6-gov-youtube,Lead,40,ELIMINATES eval 01/04/07,NOT_STARTED
H7-drive-csv,Lead,15,ELIMINATES eval 01/07,NOT_STARTED
H8-incognito,Lead,20,ELIMINATES eval 07 if a link 403s,NOT_STARTED
H9-portal,Lead,30,ELIMINATES if after 12:00 IST 07 Sep,NOT_STARTED
H10-hosted-url,Lead,40,Optional,SKIP_UNLESS_ASKED
H11-finale-bag,All,60,After shortlist,NOT_STARTED
