prompt_id,phase,assignee,expected_output,depends_on,priority,status
U00-001,U00,agent,tab names + footer strings frozen in tests,,P0,NOT_STARTED
U01-001,U01,agent,:root tokens; no gold tab fill; Plex/Noto stack; tracking ≤ 0.02em,U00-001,P0,NOT_STARTED
U01-002,U01,agent,vendor or link IBM Plex; offline fallback listed,U01-001,P0,NOT_STARTED
U02-001,U02,agent,48px navy header; khaki stripe; Log in; no kicker,U01-001,P0,NOT_STARTED
U02-002,U02,agent,tabs underline selected; aria-selected,U02-001,P0,NOT_STARTED
U03-001,U03,agent,Operations 58/42; tile chrome id+close; 429 visible,U02-001,P0,NOT_STARTED
U04-001,U04,agent,Alerts table PRI|entity|camera|Ack; CRITICAL word; pending_review,U02-001,P0,NOT_STARTED
U05-001,U05,agent,Cameras+Track sticky thead; Open last column; GIS caption,U02-001,P0,NOT_STARTED
U06-001,U06,agent,visible labels on onboard/watchlist/enroll/confirm; result cards not pre-only,U02-001,P0,NOT_STARTED
U07-001,U07,agent,test_ux_duty_desk.py + test_ux_contrast.py; pytest green; audit_gate PASS; score ≥ 40/48,"U01-001,U04-001,U06-001",P0,NOT_STARTED
U08-001,U08,lead,HUMAN 1280px screenshot pack,U07-001,P0,NOT_STARTED
