prompt_id,audit_id,severity,day,date,phase,assignee,expected_output,depends_on,estimated_minutes,priority,status
A00-001,GATE,Blocker,D4,2026-09-04,A00,agent,audit_gate.py runs; gitignore on .env,,20,P0,DONE
A01-001,S1,High,D4,2026-09-04,A01,lead,.env rotated not committed,,10,P0,NOT_STARTED
A02-001,S2,High,D4,2026-09-04,A02,agent,path jail + test_path_jail.py,A00-001,40,P0,DONE
A03-001,S3,Medium,D4,2026-09-04,A03,agent,origin_allowed pin,A00-001,30,P0,DONE
A04-001,S4,Medium,D4,2026-09-04,A04,agent,full HMAC + compare_digest,A00-001,30,P0,DONE
A05-001,S5,Medium,D4,2026-09-04,A05,agent,vendored hls.min.js no jsdelivr,A00-001,25,P0,DONE
A06-001,"D2,K2",High,D4,2026-09-04,A06,lead,tesseract or confirm spoken lock,,20,P0,NOT_STARTED
A07-001,D3,Medium,D4,2026-09-04,A07,agent,UI no-coordinates copy,A00-001,20,P0,NOT_STARTED
A08-001,"K1,K3",High,D4,2026-09-04,A08,agent,claims lock grep clean,A00-001,40,P0,NOT_STARTED
A09-001,D1,Blocker,D5,2026-09-05,A09,lead,own-feed Unlisted YouTube,"A08-001,A07-001",40,P0,NOT_STARTED
A10-001,D1,Blocker,D5,2026-09-05,A10,lead,gov-feed Unlisted YouTube,A08-001,40,P0,NOT_STARTED
A11-001,D1,Blocker,D5,2026-09-05,A11,lead,Drive Anyone+Viewer CSV,A10-001,15,P0,NOT_STARTED
A12-001,D4,Low,D8,2026-09-08,A12,agent,runcard forbids db wipe,,15,P1,NOT_STARTED
A13-001,"S1,S6",High,D6,2026-09-06,A13,lead,hosted URL only if gate PASS,"A01-001,A02-001,A03-001,A04-001,A05-001",40,P0,NOT_STARTED
A14-001,D1,Blocker,D6,2026-09-06,A14,lead,incognito all URLs,"A09-001,A10-001,A11-001",30,P0,NOT_STARTED
A15-001,D1,Blocker,D7,2026-09-07,A15,lead,portal receipt then freeze,A14-001,30,P0,NOT_STARTED
