prompt_id,day,date,phase,category,assignee,expected_output,depends_on,estimated_minutes,priority,eval_area,status
C00-001,D4,2026-09-04,C00,preflight,agent,pytest -q green or documented skips,,20,P0,platform,DONE
C00-002,D4,2026-09-04,C00,preflight,agent,audit_gate.py PASS,,10,P0,security,DONE
C00-003,D4,2026-09-04,C00,preflight,agent,no edits under nested PRAHARI/PRAHARI/,C00-001,5,P0,platform,DONE
C00-004,D4,2026-09-04,C00,preflight,agent,05_Output/experiments/EXPERIMENT_LOG.md header,,10,P0,analytics,DONE
C01-001,D4,2026-09-04,C01,schema,agent,test_event_schema.py green,C00-001,40,P0,architecture,DONE
C01-002,D4,2026-09-04,C01,schema,agent,test_track.py still count>=6,C01-001,15,P0,test_case,DONE
C01-003,D4,2026-09-04,C01,schema,agent,analyse.py engines_for drops faces on Gov,C01-001,25,P0,privacy,DONE
C02-001,D4,2026-09-04,C02,objects,agent,objects.detect fixture person,C01-003,50,P0,analytics,DONE
C02-002,D4,2026-09-04,C02,objects,agent,POST /api/ingest/analyse inserts object rows,C02-001,30,P0,analytics,DONE
C02-003,D4,2026-09-04,C02,objects,agent,GET /api/objects/report.csv,C02-002,20,P0,analytics,DONE
C02-004,D4,2026-09-04,C02,objects,agent,scene-cut resets object track_ids,C02-001,20,P0,integrator,DONE
C02-005,D4,2026-09-04,C02,objects,agent,OBJECT_ENGINE=yolo without weights does not crash,C02-001,15,P1,analytics,DONE
C03-001,D4,2026-09-04,C03,frs,agent,test_faces.py same-id match other-id reject,C01-003,50,P0,analytics,DONE
C03-002,D4,2026-09-04,C03,frs,agent,enroll API + confirm-face audited,C03-001,30,P0,watchlist,DONE
C03-003,D4,2026-09-04,C03,frs,agent,zero face events on cam04 and Gov,C03-001,30,P0,privacy,DONE
C03-004,D4,2026-09-04,C03,frs,agent,gallery JSON has no embeddings,C03-002,10,P0,privacy,DONE
C03-005,D4,2026-09-04,C03,frs,aria,HUMAN two consented adult photos in 03_Data/samples/faces/WL-004,,30,P0,own_feed,NOT_STARTED
C04-001,D4,2026-09-04,C04,intrusion,agent,person-in-ROI CRITICAL on CAM-FCS-001,C02-001,30,P0,analytics,DONE
C04-002,D4,2026-09-04,C04,intrusion,agent,negative + missing ROI tests,C04-001,15,P0,analytics,DONE
C05-001,D4,2026-09-04,C05,watchlist,agent,matcher hits face_id,C03-002,25,P0,watchlist,DONE
C05-002,D4,2026-09-04,C05,watchlist,agent,WL-004 alert without plate,C05-001,15,P0,watchlist,DONE
C05-003,D4,2026-09-04,C05,watchlist,agent,BLACKLIST GJ05CD5678 HIGH,C05-001,10,P0,watchlist,DONE
C05-004,D4,2026-09-04,C05,watchlist,agent,WS test CRITICAL payload,C05-001,25,P1,watchlist,DONE
C06-001,D5,2026-09-05,C06,anpr,aria,HUMAN tesseract --version on PATH,,20,P0,analytics,NOT_STARTED
C06-002,D5,2026-09-05,C06,anpr,agent,test_anpr_negative + variants,C00-001,25,P0,analytics,DONE
C06-003,D5,2026-09-05,C06,anpr,agent,confirm cannot be source=anpr,C01-001,15,P0,honesty,DONE
C06-004,D5,2026-09-05,C06,anpr,agent,E-A2 own_feed stills logged,C06-002,20,P0,own_feed,DONE
C07-001,D5,2026-09-05,C07,ui,agent,Onboard Analyse this still,C02-002,30,P0,presentation,DONE
C07-002,D5,2026-09-05,C07,ui,agent,Alerts render person name not blank plate,C05-002,20,P0,watchlist,DONE
C07-003,D5,2026-09-05,C07,ui,agent,Analytics tab object counts + CSV link,C02-003,20,P0,analytics,DONE
C07-004,D5,2026-09-05,C07,ui,agent,test_tabs_smoke.py green,C07-001,10,P0,platform,DONE
