prompt_id,phase,assignee,expected_output,depends_on,priority,status
I00-001,I00,agent,pytest green + audit_gate PASS + I00_PREFLIGHT.md,,P0,DONE
I01-001,I01,agent,app/engines/ with lazy imports; requirements-vision.txt; _upstream gitignored,I00-001,P0,DONE
I01-002,I01,agent,FACE_ENGINE OBJECT_ENGINE TRACK_ENGINE in config and .env.example,I01-001,P0,DONE
I02-001,I02,agent,faces.match facenet branch; histogram default,I01-001,P0,DONE
I02-002,I02,agent,test_engine_fallback FACE_ENGINE=facenet without torch,I02-001,P0,DONE
I03-001,I03,agent,FaceAnalyzer not constructed on cam04; T-F04 T-V04,I02-001,P0,DONE
I04-001,I04,agent,OBJECT_ENGINE=yolo and ANPR_ENGINE=yolo fallback,I01-001,P0,DONE
I04-002,I04,agent,YOLO person class included for objects; fetch_yolo_weights.py,I04-001,P0,DONE
I05-001,I05,agent,TRACK_ENGINE=bytetrack; scene-cut reset,I04-001,P0,DONE
I06-001,I06,agent,crop_uri_original; no codeformer/realesrgan/adaface strings,I00-001,P0,DONE
I06-002,I06,agent,reconstructed face does not auto CRITICAL,I06-001,P0,DONE
I07-001,I07,agent,Watchlist Enroll person form; viewer 403,I02-001,P0,DONE
I07-002,I07,agent,pending_review in alerts UI,I06-002,P1,DONE
I08-001,I08,agent,GET /api/predict/{plate} + Track tab,I00-001,P1,DONE
I09-001,I09,agent,keyword_rules query or SKIPPED,I00-001,P1,DONE
I10-001,I10,agent,T-V01-V11 exist; pytest green; audit_gate PASS,"I03-001,I04-001,I06-001",P0,DONE
I11-001,I11,agent,HLD+slides optional engines; PDFs; gate PASS,I10-001,P0,DONE
I12-001,I12,lead,HUMAN own-feed FaceNet still or SKIPPED,I02-001,P1,SKIPPED
I12-002,I12,lead,HUMAN gov video still no FRS,,P0,DONE
